company,name,year,price_no,kms_no,fuel_type
Audi,Audi A3 35,2020,2580000,39000,Diesel
Volkswagen,Volkswagen Vento 1.5,2015,500000,78000,Diesel
Mercedes-Benz,Mercedes-Benz GLC Coupe,2021,7150000,24900,Diesel
Maruti,Maruti Ertiga VXI,2016,725000,44000,Cng
Ford,Ford Figo Diesel,2014,193000,86483,Diesel
Honda,Honda City Edge,2019,900000,20000,Petrol
Jaguar,Jaguar XF 2.0,2020,4700000,7500,Petrol
Renault,Renault Duster Petrol,2017,575000,49000,Petrol
Toyota,Toyota Innova Crysta,2018,1875000,26000,Diesel
Maruti,Maruti Ertiga CNG,2015,675000,65000,Cng
Toyota,Toyota Land Cruiser,2018,158000,56000,Diesel
Toyota,Toyota Glanza G,2020,606000,40252,Petrol
Maruti,Maruti Swift VDI,2014,323000,97947,Diesel
Hyundai,Hyundai Creta 1.6,2015,716000,150715,Diesel
Hyundai,Hyundai i10 Sportz,2010,158000,102820,Petrol
Skoda,Skoda New Laura,2012,252999,109403,Diesel
Maruti,Maruti Ertiga VXI,2019,858000,37377,Petrol
Mercedes-Benz,Mercedes-Benz C-Class C,2022,6200000,4000,Diesel
Maruti,Maruti Swift Dzire,2015,367000,84728,Petrol
Renault,Renault Duster 85PS,2013,324000,53548,Diesel
Audi,Audi A6 2.0,2014,1619000,29397,Diesel
Honda,Honda City i,2016,775000,64000,Petrol
Hyundai,Hyundai Grand i10,2016,405999,30346,Petrol
Mahindra,Mahindra XUV500 W10,2017,1063000,42119,Diesel
Maruti,Maruti Swift Dzire,2014,327000,120450,Diesel
Hyundai,Hyundai Creta 1.4,2017,835000,70000,Diesel
Honda,Honda Amaze S,2015,440000,59534,Petrol
Chevrolet,Chevrolet Cruze LTZ,2016,650000,90000,Diesel
Maruti,Maruti Ciaz 1.4,2017,750000,63001,Petrol
Toyota,Toyota Innova 2.5,2014,1350000,153000,Diesel
Mercedes-Benz,Mercedes-Benz C-Class Progressive,2014,1600000,65000,Diesel
Hyundai,Hyundai Grand i10,2015,459999,60000,Petrol
Maruti,Maruti XL6 Zeta,2021,1100000,17000,Petrol
Audi,Audi A4 2.0,2013,1300000,55000,Diesel
Hyundai,Hyundai i20 Petrol,2019,790000,24000,Petrol
Mahindra,Mahindra XUV500 W10,2016,1200000,102000,Diesel
Maruti,Maruti Swift 1.3,2010,320000,40000,Petrol
Tata,Tata Tiago 1.2,2016,305000,92195,Petrol
Renault,Renault Triber RXL,2020,665000,13780,Petrol
Skoda,Skoda Rapid 1.6,2019,975000,24700,Petrol
Skoda,Skoda Octavia 1.8,2019,1950000,41000,Petrol
Honda,Honda Jazz V,2017,680000,18000,Petrol
Hyundai,Hyundai Creta 1.6,2016,1225000,7000,Diesel
Maruti,Maruti Ciaz 1.4,2018,950000,39600,Petrol
Maruti,Maruti Swift VDI,2018,690000,39500,Diesel
Maruti,Maruti Swift Dzire,2020,875000,11800,Petrol
Toyota,Toyota Fortuner 2.8,2017,2805000,77000,Diesel
Volvo,Volvo S60 D4,2017,1680000,99000,Diesel
Toyota,Toyota Fortuner 4x2,2014,1610000,177000,Diesel
Kia,Kia Seltos HTX,2019,1390000,43000,Petrol
Mahindra,Mahindra XUV300 W8,2019,1260000,40000,Diesel
BMW,BMW X1 sDrive,2019,3250000,65000,Diesel
Audi,Audi A3 35,2020,2580000,39000,Diesel
Maruti,Maruti Vitara Brezza,2018,980000,48000,Diesel
Mahindra,Mahindra Marazzo M2,2019,1025000,77000,Diesel
Hyundai,Hyundai Creta 1.6,2018,1025000,52000,Diesel
Mahindra,Mahindra TUV 300,2018,969999,27000,Diesel
Honda,Honda BR-V i-DTEC,2018,965000,47000,Diesel
Tata,Tata Nexon 1.5,2019,955000,42000,Diesel
Honda,Honda WR-V i-DTEC,2018,930000,42000,Diesel
Hyundai,Hyundai Creta 1.6,2016,894999,48000,Petrol
Maruti,Maruti SX4 S,2017,855000,59000,Diesel
Tata,Tata Nexon 1.2,2019,835000,27000,Petrol
Mahindra,Mahindra TUV 300,2016,800000,44000,Diesel
Renault,Renault Triber RXZ,2021,800000,5000,Petrol
Maruti,Maruti Ertiga ZDI,2013,740000,78000,Diesel
Ford,Ford Ecosport 1.5,2016,700000,57000,Diesel
Honda,Honda Mobilio V,2014,605000,48000,Petrol
Ford,Ford Ecosport 1.0,2014,590000,56000,Petrol
Volkswagen,Volkswagen Vento 1.5,2013,550000,15000,Diesel
Renault,Renault Duster 110PS,2012,565000,77000,Diesel
Honda,Honda City i-VTEC,2018,850000,60000,Petrol
Land,Land Rover Range,2013,2000000,65000,Diesel
Honda,Honda Jazz X,2012,390000,61985,Petrol
Honda,Honda Amaze V,2019,819999,19000,Petrol
Maruti,Maruti Swift Dzire,2019,750000,30000,Petrol
Honda,Honda Jazz 1.2,2018,700000,41000,Petrol
Hyundai,Hyundai Grand i10,2020,675000,6834,Petrol
Maruti,Maruti Swift Dzire,2013,370000,112160,Petrol
Hyundai,Hyundai Creta 1.6,2018,1100000,16118,Petrol
Maruti,Maruti Ciaz Alpha,2020,990000,47000,Petrol
Renault,Renault Duster 110PS,2012,420000,80000,Diesel
Skoda,Skoda Rapid 1.6,2020,893000,24000,Petrol
Maruti,Maruti Ciaz Alpha,2018,865000,46000,Petrol
Maruti,Maruti Baleno RS,2017,785000,30000,Petrol
Hyundai,Hyundai i20 Active,2017,765000,30000,Petrol
Maruti,Maruti Swift Dzire,2017,755000,31000,Petrol
Hyundai,Hyundai Elite i20,2018,750000,46000,Diesel
Maruti,Maruti Baleno 1.3,2016,743000,44000,Diesel
Honda,Honda Jazz V,2019,730000,40000,Petrol
Honda,Honda City i,2016,705000,39000,Diesel
Hyundai,Hyundai i20 Asta,2013,450000,63759,Petrol
Hyundai,Hyundai i20 Active,2018,699000,29000,Petrol
Honda,Honda Jazz 1.2,2017,695000,42000,Petrol
Hyundai,Hyundai i20 Sportz,2017,675000,37000,Petrol
Maruti,Maruti Swift VXI,2019,675000,40000,Petrol
Honda,Honda City i,2014,645000,33000,Petrol
Honda,Honda Jazz 1.2,2018,640000,26000,Petrol
Hyundai,Hyundai Venue SX,2021,1195000,24000,Petrol
Maruti,Maruti Ciaz VXi,2015,450000,156596,Petrol
Honda,Honda BR-V i-VTEC,2017,580000,98778,Petrol
Skoda,Skoda Superb Elegance,2010,800000,145000,Petrol
Hyundai,Hyundai i20 1.2,2018,790000,26000,Petrol
Skoda,Skoda Octavia 2.0,2017,1750000,60000,Diesel
Maruti,Maruti Baleno 1.2,2017,560000,560000,Petrol
Honda,Honda Jazz 1.2,2017,635000,45000,Petrol
Tata,Tata Tiago XZA,2019,625000,27000,Petrol
Skoda,Skoda Rapid 1.6,2018,860000,43000,Petrol
Toyota,Toyota Corolla Altis,2015,990000,37000,Petrol
Audi,Audi Q3 2.0,2014,1989999,46000,Diesel
Hyundai,Hyundai i10 Sportz,2011,280000,51366,Petrol
Honda,Honda Jazz 1.2,2017,630000,77331,Petrol
Honda,Honda City i,2016,630000,77783,Petrol
Skoda,Skoda Superb LK,2016,2250000,44000,Diesel
Mahindra,Mahindra TUV 300,2018,625000,56276,Diesel
Honda,Honda Brio V,2012,290000,44408,Petrol
Tata,Tata Manza Aqua,2010,150000,80000,Diesel
Volkswagen,Volkswagen Ameo 1.0,2019,610000,20000,Petrol
Jeep,Jeep Compass 1.4,2021,2390000,19000,Petrol
Ford,Ford Endeavour 2.2,2019,2700000,73500,Diesel
Maruti,Maruti Ciaz Delta,2019,810000,28783,Petrol
Maruti,Maruti Vitara Brezza,2018,975000,43000,Diesel
Skoda,Skoda Fabia 1.4,2010,150000,117500,Diesel
Maruti,Maruti Swift Dzire,2012,450000,46352,Petrol
Volkswagen,Volkswagen Ameo 1.2,2017,440000,84123,Petrol
Hyundai,Hyundai i20 Asta,2019,780000,22773,Petrol
Maruti,Maruti Alto 800,2017,300000,20000,Petrol
Chevrolet,Chevrolet Beat LT,2011,175000,77075,Petrol
Mercedes-Benz,Mercedes-Benz GLC Progressive,2018,4300000,38000,Diesel
Renault,Renault KWID 1.0,2016,210000,70000,Petrol
Mercedes-Benz,Mercedes-Benz GLA Class,2016,2050000,40000,Diesel
Hyundai,Hyundai Grand i10,2016,385000,60000,Petrol
Maruti,Maruti Alto LXi,2008,185000,19521,Petrol
Maruti,Maruti Alto K10,2017,380000,19800,Petrol
Toyota,Toyota Innova Crysta,2019,1975000,50000,Diesel
Toyota,Toyota Etios VXD,2012,585000,50000,Diesel
Honda,Honda City i-VTEC,2019,1050000,37000,Petrol
Mahindra,Mahindra TUV 300,2019,800000,40000,Diesel
Honda,Honda WR-V i-DTEC,2017,825000,10700,Diesel
Honda,Honda City i,2014,610000,31800,Petrol
Maruti,Maruti Baleno 1.2,2016,579000,32400,Petrol
Honda,Honda Amaze VX,2020,785000,4700,Petrol
Hyundai,Hyundai Grand i10,2018,525000,33500,Petrol
Maruti,Maruti Swift Dzire,2018,699000,54800,Diesel
Hyundai,Hyundai Verna CRDi,2017,799000,44000,Diesel
Maruti,Maruti Wagon R,2014,415000,19000,Petrol
Honda,Honda Jazz VX,2019,789000,22000,Petrol
Hyundai,Hyundai i20 Sportz,2020,785000,12900,Petrol
Honda,Honda Amaze V,2019,780000,22700,Petrol
Maruti,Maruti Zen Estilo,2010,189000,69000,Petrol
Hyundai,Hyundai Santro Xing,2012,269000,60000,Petrol
Hyundai,Hyundai i20 Sportz,2020,900000,9500,Petrol
Honda,Honda City i-VTEC,2021,980000,15000,Petrol
Kia,Kia Seltos HTK,2020,1260000,19000,Petrol
Toyota,Toyota Innova Crysta,2022,3050000,3500,Diesel
Ford,Ford Figo Petrol,2010,190000,81721,Petrol
Maruti,Maruti Zen Estilo,2012,210000,109656,Petrol
Ford,Ford Figo Petrol,2012,195000,87955,Petrol
Maruti,Maruti Alto K10,2015,330000,50000,Petrol
Maruti,Maruti Swift Dzire,2019,800000,12990,Petrol
BMW,BMW 5 Series,2014,2999000,75099,Diesel
Mercedes-Benz,Mercedes-Benz GL-Class 350,2010,1450000,120000,Diesel
Skoda,Skoda Rapid 1.5,2015,595000,70000,Diesel
Hyundai,Hyundai i20 Asta,2009,250000,90000,Petrol
Renault,Renault Duster RXS,2021,1250000,10000,Petrol
Hyundai,Hyundai Creta 1.6,2018,1275000,44000,Petrol
Skoda,Skoda Rapid Ultima,2013,689000,29500,Petrol
Honda,Honda Brio V,2013,315000,81200,Petrol
Mahindra,Mahindra TUV 300,2016,700000,50000,Diesel
Volkswagen,Volkswagen Vento 1.5,2016,610000,141383,Diesel
Honda,Honda Amaze VX,2019,800000,34392,Petrol
Hyundai,Hyundai Verna SX,2013,600000,90000,Diesel
Hyundai,Hyundai Grand i10,2014,390000,47681,Petrol
Mini,Mini Cooper Countryman,2019,4099000,25900,Petrol
Hyundai,Hyundai Santro Xing,2009,155000,120000,Petrol
Hyundai,Hyundai i10 Asta,2011,335000,41525,Petrol
Tata,Tata Altroz XZ,2021,890000,15000,Diesel
Kia,Kia Seltos GTX,2021,1825000,11000,Petrol
Jeep,Jeep Compass 2.0,2019,1950000,29990,Diesel
Honda,Honda City ZX,2020,1450000,25000,Petrol
Hyundai,Hyundai Verna SX,2022,1500000,20000,Diesel
Ford,Ford Figo 1.5D,2016,400000,90000,Diesel
Honda,Honda WR-V i-DTEC,2018,875000,80000,Diesel
Honda,Honda City i,2016,850000,50000,Petrol
Mahindra,Mahindra Scorpio SLE,2010,480000,90000,Diesel
Toyota,Toyota Corolla Altis,2015,926000,70000,Petrol
Maruti,Maruti Ignis Delta,2020,600000,20000,Petrol
Skoda,Skoda Rapid 1.0,2018,990000,25000,Petrol
Audi,Audi Q3 35,2015,2205000,56000,Diesel
Honda,Honda City i,2016,850000,53000,Petrol
Ford,Ford Ecosport Sports,2020,969999,10000,Petrol
Audi,Audi A4 2.0,2012,1050000,110000,Diesel
Toyota,Toyota Innova Crysta,2018,2200000,99990,Diesel
Skoda,Skoda Rapid 1.6,2014,420000,68000,Petrol
BMW,BMW 5 Series,2014,2100000,68500,Diesel
Maruti,Maruti Swift ZXi,2015,575000,50599,Petrol
Volkswagen,Volkswagen Polo 1.0,2015,484999,54431,Petrol
Honda,Honda City i-VTEC,2019,950000,65855,Petrol
Ford,Ford Ecosport 1.5,2014,484999,113706,Diesel
Tata,Tata Nexon EV,2020,1450000,40000,Electric
Mahindra,Mahindra Scorpio EX,2012,550000,100000,Diesel
Mahindra,Mahindra Marazzo M6,2021,1485000,36700,Diesel
Hyundai,Hyundai Verna 1.6,2009,250000,40000,Petrol
Toyota,Toyota Innova Crysta,2020,2450000,50000,Diesel
Toyota,Toyota Innova Crysta,2019,2650000,50000,Diesel
Hyundai,Hyundai Grand i10,2019,600000,40000,Petrol
Mercedes-Benz,Mercedes-Benz GLS 350d,2018,6500000,135000,Diesel
Honda,Honda Jazz 1.2,2016,610000,40000,Petrol
Audi,Audi A6 35,2016,3300000,15000,Diesel
Hyundai,Hyundai Creta 1.6,2016,1035000,39000,Petrol
Mercedes-Benz,Mercedes-Benz GLE 350d,2016,4750000,60000,Diesel
Toyota,Toyota Etios GD,2013,320000,120000,Diesel
Toyota,Toyota Innova Crysta,2019,2575000,60000,Diesel
Mercedes-Benz,Mercedes-Benz GLE 250d,2017,4950000,45000,Diesel
BMW,BMW X1 sDrive,2019,3675000,23000,Diesel
Mahindra,Mahindra XUV500 W11,2019,1700000,46952,Diesel
Mahindra,Mahindra KUV 100,2017,450000,35000,Diesel
Skoda,Skoda Rapid 1.6,2014,430000,70000,Petrol
Hyundai,Hyundai Verna CRDi,2018,880000,90000,Diesel
Maruti,Maruti Celerio X,2018,425000,35000,Petrol
Hyundai,Hyundai Grand i10,2018,525000,19400,Petrol
Hyundai,Hyundai i20 1.2,2012,305000,80000,Petrol
Hyundai,Hyundai Grand i10,2015,450000,30900,Petrol
Kia,Kia Seltos GTX,2021,1750000,30000,Petrol
Hyundai,Hyundai Santa Fe,2013,1300000,77000,Diesel
Hyundai,Hyundai Creta 1.6,2018,1350000,36000,Petrol
Hyundai,Hyundai Creta 1.6,2019,1450000,19000,Petrol
Ford,Ford Ecosport 1.5,2017,825000,70000,Diesel
Skoda,Skoda Octavia Ambition,2014,1200000,85000,Petrol
Audi,Audi A4 2.0,2010,1500000,23000,Petrol
Skoda,Skoda Octavia Elegance,2015,1600000,75000,Diesel
Toyota,Toyota Fortuner 4x4,2013,1950000,85000,Diesel
Toyota,Toyota Corolla Altis,2012,775000,50000,Petrol
Toyota,Toyota Camry Hybrid,2015,2300000,50000,Electric
Toyota,Toyota Fortuner 4x4,2016,2550000,60000,Diesel
Volvo,Volvo XC 90,2018,6500000,60000,Diesel
Volvo,Volvo S60 D4,2015,2200000,36000,Diesel
Volvo,Volvo XC60 D5,2015,2400000,120000,Diesel
Audi,Audi A6 2.7,2010,1300000,70000,Diesel
Audi,Audi Q3 2.0,2013,1600000,94000,Diesel
Mini,Mini 3 DOOR,2018,3750000,9000,Petrol
Audi,Audi Q7 3.0,2013,2300000,135000,Diesel
Audi,Audi Q7 45,2018,5800000,70000,Diesel
BMW,BMW 3 Series,2011,1500000,39000,Diesel
BMW,BMW 3 Series,2012,1600000,50000,Diesel
BMW,BMW 3 Series,2020,4500000,8000,Diesel
BMW,BMW X3 xDrive30d,2016,4000000,50000,Diesel
Mercedes-Benz,Mercedes-Benz S-Class S,2020,130000,14000,Diesel
BMW,BMW 5 Series,2018,4600000,40000,Diesel
Volkswagen,Volkswagen Polo Diesel,2013,375000,196000,Diesel
Volkswagen,Volkswagen Vento 1.5,2018,850000,95000,Diesel
Tata,Tata Nexon 1.5,2018,750000,48632,Diesel
Mercedes-Benz,Mercedes-Benz C-Class 200,2008,800000,90000,Petrol
Volkswagen,Volkswagen Vento 1.5,2018,850000,95000,Diesel
Mercedes-Benz,Mercedes-Benz C-Class C,2018,3900000,55000,Diesel
Mercedes-Benz,Mercedes-Benz E-Class Exclusive,2017,4700000,18000,Diesel
Mercedes-Benz,Mercedes-Benz GLC 220d,2018,5000000,29000,Diesel
Toyota,Toyota Yaris J,2020,1100000,5000,Petrol
BMW,BMW 7 Series,2017,7000000,25000,Diesel
Hyundai,Hyundai i10 Asta,2011,325000,41000,Petrol
Hyundai,Hyundai EON Era,2013,250000,63463,Petrol
Renault,Renault Kiger RXT,2021,899000,20000,Petrol
Maruti,Maruti Alto 800,2014,267000,69852,Petrol
Hyundai,Hyundai Grand i10,2016,525000,29584,Petrol
Maruti,Maruti Wagon R,2014,395000,27514,Petrol
Renault,Renault Triber RXZ,2019,690000,30339,Petrol
Maruti,Maruti Baleno Alpha,2019,850000,39386,Petrol
Maruti,Maruti Wagon R,2012,300000,64671,Petrol
Hyundai,Hyundai Santro Sportz,2019,490000,30670,Petrol
Maruti,Maruti Swift VDI,2018,670000,46086,Diesel
Maruti,Maruti Baleno 1.2,2015,550000,70346,Petrol
Maruti,Maruti Wagon R,2005,150000,50000,Petrol
Honda,Honda Amaze S,2015,400000,80000,Petrol
Maruti,Maruti Wagon R,2016,449000,58365,Petrol
Maruti,Maruti Wagon R,2017,499000,12000,Petrol
Hyundai,Hyundai i20 Magna,2009,290000,58182,Petrol
Hyundai,Hyundai Grand i10,2013,325000,325000,Petrol
Fiat,Fiat Punto 1.3,2014,270000,127152,Diesel
Jeep,Jeep Compass 2.0,2018,1220000,98492,Diesel
Maruti,Maruti Swift Dzire,2018,775000,23000,Diesel
Audi,Audi A3 35,2017,2075000,45000,Diesel
Toyota,Toyota Innova Crysta,2019,2490000,63001,Diesel
Ford,Ford Endeavour 3.2,2016,2050000,72000,Diesel
Maruti,Maruti XL6 Zeta,2020,1145000,26000,Petrol
Toyota,Toyota Innova Crysta,2019,2075000,46000,Diesel
Toyota,Toyota Innova Crysta,2018,1950000,140000,Diesel
Hyundai,Hyundai Venue SX,2021,1060000,3500,Petrol
Maruti,Maruti Ciaz ZDi,2015,540000,120000,Diesel
Volvo,Volvo XC 90,2018,6500000,39000,Diesel
Volkswagen,Volkswagen Vento 1.5,2017,950000,79100,Diesel
Maruti,Maruti Zen Estilo,2009,175000,60000,Petrol
Maruti,Maruti XL6 Alpha,2022,1000000,30000,Petrol
Tata,Tata Altroz XZ,2020,825000,46000,Diesel
Volkswagen,Volkswagen Vento 1.6,2018,860000,65232,Petrol
Volkswagen,Volkswagen Polo Diesel,2010,270000,106865,Diesel
Mahindra,Mahindra TUV 300,2016,800000,49900,Diesel
Mahindra,Mahindra Scorpio SLX,2007,265000,100000,Diesel
Ford,Ford Aspire 1.5,2015,525000,110000,Diesel
Hyundai,Hyundai Santro Magna,2020,576000,9000,Petrol
Maruti,Maruti SX4 S,2020,944999,15000,Petrol
Ford,Ford Endeavour Titanium,2019,3250000,45000,Diesel
Maruti,Maruti Swift VDI,2013,450000,100000,Diesel
Honda,Honda BR-V i-VTEC,2017,815000,80000,Petrol
Hyundai,Hyundai i20 Sportz,2015,532000,80000,Diesel
Hyundai,Hyundai i20 Asta,2021,1125000,11000,Petrol
Honda,Honda City i,2015,725000,50000,Petrol
Hyundai,Hyundai i20 Asta,2015,575000,90000,Diesel
Hyundai,Hyundai Grand i10,2018,500000,90000,Petrol
Skoda,Skoda Rapid 1.5,2019,975000,93500,Diesel
Hyundai,Hyundai Creta 1.6,2017,999000,32000,Petrol
Maruti,Maruti Wagon R,2014,340000,60000,Petrol
Chevrolet,Chevrolet Beat Diesel,2015,215000,70000,Diesel
Honda,Honda City ZX,2017,860000,70000,Petrol
Volkswagen,Volkswagen Beetle 2.0,2010,1525000,18999,Petrol
Honda,Honda Civic 1.8,2007,350000,110000,Petrol
Maruti,Maruti Swift Dzire,2011,315000,145000,Diesel
Hyundai,Hyundai i10 Magna,2008,190000,60000,Petrol
Renault,Renault Pulse RxL,2012,250000,50000,Diesel
Maruti,Maruti Wagon R,2015,330000,70000,Petrol
Hyundai,Hyundai i20 Active,2015,590000,48000,Petrol
Isuzu,Isuzu MU 7,2014,800000,80000,Diesel
Hyundai,Hyundai Aura S,2020,775000,40000,Diesel
Hyundai,Hyundai Verna 1.6,2015,700000,50000,Diesel
Fiat,Fiat Punto Pure,2012,200000,158763,Diesel
BMW,BMW 3 Series,2017,3150000,35000,Diesel
Tata,Tata Safari Storme,2012,310000,90000,Diesel
Mahindra,Mahindra XUV500 W8,2013,750000,120000,Diesel
Honda,Honda City i,2015,550000,60000,Petrol
Mahindra,Mahindra XUV500 W8,2015,900000,70000,Diesel
Honda,Honda City E,2012,425000,97320,Petrol
Volkswagen,Volkswagen Vento Diesel,2014,490000,118393,Diesel
Honda,Honda Jazz ZX,2021,890000,24774,Petrol
Fiat,Fiat Linea Emotion,2010,170000,50000,Petrol
Renault,Renault KWID Climber,2020,490000,13800,Petrol
Skoda,Skoda Yeti Ambition,2011,400000,147000,Diesel
Honda,Honda Amaze SX,2016,480000,50000,Petrol
Hyundai,Hyundai EON 1.0,2017,320000,50000,Petrol
Honda,Honda BR-V i-DTEC,2018,850000,30000,Diesel
Toyota,Toyota Innova 2.5,2014,1490000,56001,Diesel
Honda,Honda City i,2016,725000,60000,Diesel
Toyota,Toyota Corolla Altis,2016,1039000,32976,Petrol
Maruti,Maruti Wagon R,2014,354000,6830,Petrol
Nissan,Nissan Micra Active,2016,328000,76018,Petrol
Hyundai,Hyundai EON Magna,2016,270000,65841,Petrol
Hyundai,Hyundai Creta 1.6,2017,799000,29943,Petrol
Tata,Tata New Safari,2014,501000,35383,Diesel
Skoda,Skoda Superb Elegance,2012,475000,50000,Petrol
Chevrolet,Chevrolet Beat LS,2010,134000,63723,Petrol
Maruti,Maruti Wagon R,2016,340000,75270,Cng
Hyundai,Hyundai i20 1.2,2011,264000,80502,Petrol
Fiat,Fiat Linea 1.4,2013,224000,39520,Petrol
Volkswagen,Volkswagen Polo Petrol,2011,295000,60000,Petrol
Volkswagen,Volkswagen Polo Petrol,2010,265000,79000,Petrol
Volkswagen,Volkswagen CrossPolo 1.5,2015,484999,66000,Diesel
Mahindra,Mahindra XUV500 W8,2012,463000,116509,Diesel
Audi,Audi A6 3.0,2012,1085000,76398,Diesel
Audi,Audi RS5 Coupe,2011,3500000,55000,Petrol
Hyundai,Hyundai i20 Sportz,2014,447000,61000,Petrol
Land,Land Rover Freelander,2014,1850000,80000,Diesel
Maruti,Maruti Ciaz VDi,2016,604000,64803,Diesel
Hyundai,Hyundai i20 1.2,2010,252000,34453,Petrol
Maruti,Maruti Swift Dzire,2017,575000,17348,Petrol
Tata,Tata Nexon 1.5,2018,600000,102732,Diesel
Nissan,Nissan Sunny XL,2013,400000,90592,Petrol
Maruti,Maruti Baleno Alpha,2018,750000,80000,Diesel
Honda,Honda Amaze VX,2015,470000,19062,Petrol
Honda,Honda CR-V 2.4L,2015,1075000,65000,Petrol
Mitsubishi,Mitsubishi Outlander 2.4,2011,525000,45000,Petrol
Volkswagen,Volkswagen Polo Diesel,2013,398000,83634,Diesel
Mercedes-Benz,Mercedes-Benz M-Class ML,2013,2050000,103000,Diesel
Mahindra,Mahindra TUV 300,2016,599000,42032,Diesel
Honda,Honda Mobilio S,2014,436000,89653,Diesel
Mercedes-Benz,Mercedes-Benz GLC 220d,2018,4500000,57000,Diesel
Mercedes-Benz,Mercedes-Benz GL-Class 350,2014,3275000,80000,Diesel
BMW,BMW X1 sDrive,2013,950000,82000,Diesel
Audi,Audi A4 2.0,2013,1225000,50000,Diesel
Toyota,Toyota Camry Hybrid,2018,1875000,98000,Petrol
Volkswagen,Volkswagen Polo 1.5,2014,393000,71033,Diesel
Toyota,Toyota Corolla Altis,2009,325000,95000,Petrol
Mahindra,Mahindra XUV500 W10,2018,1200000,68000,Diesel
Audi,Audi A6 2.0,2013,1275000,98000,Diesel
Maruti,Maruti Swift Vdi,2008,199000,92860,Diesel
Honda,Honda City E,2012,300000,77132,Petrol
Skoda,Skoda New Laura,2008,135000,118971,Diesel
MG,MG ZS EV,2021,2185000,28000,Electric
Volkswagen,Volkswagen Vento Petrol,2010,273000,71760,Petrol
Skoda,Skoda Octavia Elegance,2014,913000,84612,Diesel
Maruti,Maruti Ciaz VDI,2017,593000,124183,Diesel
Maruti,Maruti Wagon R,2016,341000,47756,Cng
BMW,BMW X5 xDrive,2017,5200000,65000,Diesel
Hyundai,Hyundai Verna 1.6,2011,375000,37125,Petrol
Hyundai,Hyundai Verna 1.6,2013,352000,87013,Petrol
Honda,Honda City 1.5,2010,271000,149232,Petrol
Volkswagen,Volkswagen Vento Petrol,2012,254000,82145,Petrol
Toyota,Toyota Etios Liva,2011,282000,75805,Diesel
Renault,Renault Duster 110PS,2015,575000,73000,Diesel
Maruti,Maruti Swift Dzire,2009,190000,91717,Petrol
Maruti,Maruti Swift VXI,2013,317000,61828,Petrol
Maruti,Maruti Wagon R,2012,238000,98554,Petrol
Maruti,Maruti Ertiga ZXI,2013,462000,112696,Petrol
BMW,BMW 7 Series,2013,2418000,9329,Diesel
Skoda,Skoda Rapid 1.5,2017,666000,64419,Diesel
Maruti,Maruti Swift Dzire,2016,563000,91892,Diesel
Hyundai,Hyundai i20 Asta,2015,479000,50827,Petrol
Maruti,Maruti Baleno 1.2,2015,553000,69167,Petrol
Kia,Kia Seltos HTE,2021,1182000,35343,Diesel
Maruti,Maruti Wagon R,2012,236000,100527,Petrol
Tata,Tata Nexon EV,2020,367000,54239,Electric
Renault,Renault KWID RXT,2018,313000,26457,Petrol
Maruti,Maruti Ertiga VXI,2014,486000,67231,Cng
Maruti,Maruti Wagon R,2008,121000,74228,LPG
Maruti,Maruti Celerio VXI,2017,451000,55362,Cng
Hyundai,Hyundai i10 Magna,2010,179000,80896,Petrol
Skoda,Skoda Slavia 1.0,2022,1270000,2263,Petrol
Hyundai,Hyundai Creta SX,2021,1750000,25000,Diesel
Maruti,Maruti Vitara Brezza,2021,1008000,14572,Petrol
Toyota,Toyota Innova 2.5,2011,566000,91865,Diesel
Honda,Honda Mobilio S,2015,595000,77000,Diesel
Hyundai,Hyundai Grand i10,2014,395000,36109,Petrol
Jaguar,Jaguar XJ 5.0,2012,2975000,72000,Petrol
Toyota,Toyota Fortuner 2.8,2018,3000000,73500,Diesel
Chevrolet,Chevrolet Tavera Neo,2015,596000,212171,Diesel
Honda,Honda City i,2016,712000,73079,Petrol
Toyota,Toyota Innova Crysta,2017,1546000,47791,Diesel
Maruti,Maruti Ciaz ZXi,2015,490000,89982,Petrol
Hyundai,Hyundai Santro Xing,2008,112999,100694,Petrol
Volkswagen,Volkswagen Polo Petrol,2013,303000,42788,Petrol
Maruti,Maruti Swift VXI,2012,276000,53127,Petrol
Maruti,Maruti Swift Dzire,2010,256999,47832,Diesel
Toyota,Toyota Fortuner 3.0,2010,878999,119570,Diesel
Tata,Tata Zest Revotron,2015,323000,13251,Petrol
Hyundai,Hyundai Verna SX,2021,1432000,10514,Petrol
Ford,Ford Ecosport 1.5,2013,444000,58613,Petrol
Volkswagen,Volkswagen Polo Petrol,2011,325000,56000,Petrol
Chevrolet,Chevrolet Enjoy Petrol,2014,300000,210000,Petrol
Hyundai,Hyundai i10 Sportz,2010,249000,103000,Petrol
Hyundai,Hyundai i20 1.2,2012,345000,86000,Petrol
Volkswagen,Volkswagen Vento Petrol,2011,299000,76000,Petrol
Volkswagen,Volkswagen Vento Petrol,2011,325000,76000,Petrol
Maruti,Maruti Wagon R,2017,400000,40000,Cng
Hyundai,Hyundai Tucson 2.0,2018,1750000,50000,Diesel
Hyundai,Hyundai Verna VTVT,2018,1030000,20000,Petrol
Mahindra,Mahindra XUV500 W8,2012,669000,74000,Diesel
Hyundai,Hyundai i10 Magna,2008,120000,120000,Petrol
Maruti,Maruti Estilo LXI,2009,105000,70000,Petrol
Honda,Honda City i,2015,650000,87000,Diesel
Honda,Honda Civic 1.8,2007,140000,110000,Petrol
